season,batter,matches_played,avg_runs_last_5,avg_sr_last_5,career_avg_runs,runs
2009/10,A Kumble,12,2.2,88.33333333333333,2.5833333333333335,2
2009/10,A Kumble,13,2.4,93.33333333333333,2.5384615384615383,1
2009/10,A Kumble,14,1.2,76.66666666666667,2.4285714285714284,1
2022,A Manohar,5,21.2,134.33049708911776,21.2,2
2022,A Manohar,6,18.6,99.47335423197492,18.0,0
2023,A Manohar,7,18.4,89.47335423197492,15.428571428571429,14
2023,A Manohar,8,14.2,92.65517241379311,15.25,27
2023,A Manohar,9,11.0,104.53846153846155,16.555555555555557,3
2023,A Manohar,10,9.2,96.53846153846155,15.2,42
2023,A Manohar,11,17.2,128.53846153846155,17.636363636363637,26
2023,A Manohar,12,22.4,142.98290598290598,18.333333333333332,2
2024,A Manohar,13,20.0,121.3162393162393,17.076923076923077,1
2024,A Manohar,14,14.8,89.77777777777777,15.928571428571429,8
2009,A Mishra,5,9.6,70.875,9.6,2
2009,A Mishra,6,9.2,68.20833333333333,8.333333333333334,13
2009,A Mishra,7,5.6,113.83333333333333,9.0,0
2009/10,A Mishra,8,5.2,105.83333333333333,7.875,3
2009/10,A Mishra,9,5.8,117.83333333333333,7.333333333333333,6
2009/10,A Mishra,10,4.8,130.33333333333331,7.2,0
2009/10,A Mishra,11,4.4,117.0,6.545454545454546,4
2009/10,A Mishra,12,2.6,65.33333333333333,6.333333333333333,10
2009/10,A Mishra,13,4.6,82.0,6.615384615384615,12
2009/10,A Mishra,14,6.4,84.11764705882354,7.0,4
2011,A Mishra,15,6.0,52.117647058823536,6.8,2
2011,A Mishra,16,6.4,72.11764705882354,6.5,12
2011,A Mishra,17,8.0,98.78431372549021,6.823529411764706,0
2011,A Mishra,18,6.0,82.11764705882354,6.444444444444445,25
2011,A Mishra,19,8.6,94.3157894736842,7.421052631578948,0
2011,A Mishra,20,7.8,86.3157894736842,7.05,2
2011,A Mishra,21,7.8,74.3157894736842,6.809523809523809,9
2011,A Mishra,22,7.2,52.315789473684205,6.909090909090909,0
2011,A Mishra,23,7.2,52.315789473684205,6.608695652173913,18
2012,A Mishra,24,5.8,77.42857142857144,7.083333333333333,0
2012,A Mishra,25,5.8,77.42857142857144,6.8,6
2012,A Mishra,26,6.6,86.57142857142858,6.769230769230769,1
2012,A Mishra,27,5.0,88.57142857142858,6.555555555555555,1
2012,A Mishra,28,5.2,91.90476190476191,6.357142857142857,8
2013,A Mishra,29,3.2,72.47619047619048,6.413793103448276,16
2013,A Mishra,30,6.4,95.33333333333334,6.733333333333333,1
2013,A Mishra,31,5.4,98.19047619047619,6.548387096774194,30
2013,A Mishra,32,11.2,101.26739926739927,7.28125,15
2013,A Mishra,33,14.0,112.21978021978023,7.515151515151516,21
2013,A Mishra,34,16.6,92.94705294705297,7.911764705882353,6
2014,A Mishra,35,14.6,85.0899100899101,7.857142857142857,4
2014,A Mishra,36,15.2,81.0899100899101,7.75,0
2015,A Mishra,37,9.2,58.01298701298701,7.54054054054054,4
2015,A Mishra,38,7.0,59.727272727272734,7.447368421052632,1
2015,A Mishra,39,3.0,67.00000000000001,7.282051282051282,2
2015,A Mishra,40,2.2,62.000000000000014,7.15,1
2016,A Mishra,41,1.6,52.66666666666667,7.0,3
2016,A Mishra,42,2.2,59.33333333333335,6.904761904761905,1
2017,A Mishra,43,1.6,47.33333333333334,6.767441860465116,8
2017,A Mishra,44,3.0,38.76190476190477,6.795454545454546,4
2017,A Mishra,45,3.4,36.03463203463205,6.733333333333333,9
2017,A Mishra,46,5.0,41.36796536796538,6.782608695652174,8
2017,A Mishra,47,6.0,114.70129870129873,6.808510638297872,13
2017,A Mishra,48,8.4,136.70129870129873,6.9375,7
